name,address,lat,lng,comment,website
320,"48.836588, 2.338092",48.836588,2.338092,Rue du Faubourg Saint-Jacques (PA_320) https://live.staticflickr.com/71/199414119_af02526e46_m.jpg,https://www.flickr.com/photos/24406544@N00/199414119
321,"48.846558, 2.341879",48.846558,2.341879,Paris 5ème (PA_321) https://live.staticflickr.com/7864/33455190688_a7aa91c1a6_m.jpg,https://www.flickr.com/photos/24406544@N00/33455190688
322,"48.848852, 2.332849",48.848852,2.332849,Paris 6ème (PA_322) https://live.staticflickr.com/1720/25703545070_af0f1c995f_m.jpg,https://www.flickr.com/photos/24406544@N00/25703545070
323,"48.854366, 2.384141",48.854366,2.384141,Paris 11ème (PA_323) https://live.staticflickr.com/8337/29534484666_2073b4c062_m.jpg,https://www.flickr.com/photos/24406544@N00/29534484666
326,"48.847822, 2.392895",48.847822,2.392895,Paris 12ème (PA_326) https://live.staticflickr.com/65535/48823145222_757619dbf4_m.jpg,https://www.flickr.com/photos/24406544@N00/48823145222
329,"48.886596, 2.361116",48.886596,2.361116,Paris 18ème (PA_329) https://live.staticflickr.com/4460/36968649964_8ab41d9aef_m.jpg,https://www.flickr.com/photos/24406544@N00/36968649964
330,"48.878468, 2.349228",48.878468,2.349228,Paris 10ème (PA_330) https://live.staticflickr.com/1893/30976121378_120071796a_m.jpg,https://www.flickr.com/photos/24406544@N00/30976121378
331,"48.859388, 2.353000",48.859388,2.353000,Paris 4ème (PA_331) https://live.staticflickr.com/2863/33133112974_34a80e78b8_m.jpg,https://www.flickr.com/photos/24406544@N00/33133112974
333,"48.880035, 2.344282",48.880035,2.344282,Paris 9ème (PA_333) https://live.staticflickr.com/65535/48721377626_b015f2f120_m.jpg,https://www.flickr.com/photos/24406544@N00/48721377626
334,"48.843836, 2.364184",48.843836,2.364184,Quai Saint Bernard (PA_334) https://live.staticflickr.com/43/93482972_e32b49fb20_m.jpg,https://www.flickr.com/photos/24406544@N00/93482972
335,"48.882052, 2.369999",48.882052,2.369999,Quai de Jemmapas (PA_335) https://live.staticflickr.com/61/200857601_70080b6df5_m.jpg,https://www.flickr.com/photos/24406544@N00/200857601
336,"48.890462, 2.353177",48.890462,2.353177,Rue Léon (PA_336) https://live.staticflickr.com/27/103269537_a1fbd447f6_m.jpg,https://www.flickr.com/photos/24406544@N00/103269537
337,"48.864545, 2.412775",48.864545,2.412775,Porte de Bagnolet (PA_337) https://live.staticflickr.com/65535/49531362008_863acfbe22_m.jpg,https://www.flickr.com/photos/24406544@N00/49531362008
